,number,value,datetime_start,datetime_complete,duration,params_dropout,params_epochs,params_hidden_size,params_learning_rate,params_num_layers,state
0,0,0.011331492103636265,2024-12-19 10:51:00.551262,2024-12-19 10:51:01.407874,0 days 00:00:00.856612,0.5,10,64,0.0027006416347202648,2,COMPLETE
1,1,0.00938008027151227,2024-12-19 10:51:01.408246,2024-12-19 10:51:04.003977,0 days 00:00:02.595731,0.2,20,256,0.005126606491327696,4,COMPLETE
2,2,0.019770250655710697,2024-12-19 10:51:04.004240,2024-12-19 10:51:04.418944,0 days 00:00:00.414704,0.30000000000000004,10,64,0.0027729491715194387,3,COMPLETE
3,3,0.01540991198271513,2024-12-19 10:51:04.419212,2024-12-19 10:51:05.272055,0 days 00:00:00.852843,0.4,10,128,0.003773132686301317,4,COMPLETE
4,4,0.02169637754559517,2024-12-19 10:51:05.272312,2024-12-19 10:51:05.689924,0 days 00:00:00.417612,0.5,10,64,0.005179684954633743,3,COMPLETE
5,5,0.011408363468945026,2024-12-19 10:51:05.690177,2024-12-19 10:51:06.989197,0 days 00:00:01.299020,0.30000000000000004,10,256,0.00405144220878943,4,COMPLETE
6,6,0.008545175660401583,2024-12-19 10:51:06.989461,2024-12-19 10:51:07.655702,0 days 00:00:00.666241,0.1,10,128,0.006397989788923597,3,COMPLETE
7,7,0.014104450587183237,2024-12-19 10:51:07.655951,2024-12-19 10:51:08.324947,0 days 00:00:00.668996,0.30000000000000004,10,128,0.005953516043379362,3,COMPLETE
8,8,0.006565098650753498,2024-12-19 10:51:08.325193,2024-12-19 10:51:08.780140,0 days 00:00:00.454947,0.1,10,64,0.008235258552959712,3,COMPLETE
9,9,0.0016480039339512587,2024-12-19 10:51:08.780404,2024-12-19 10:51:09.202043,0 days 00:00:00.421639,0.1,20,128,0.008071341184673762,1,COMPLETE
