,number,value,datetime_start,datetime_complete,duration,params_dropout,params_epochs,params_hidden_size,params_learning_rate,params_num_layers,state
0,0,0.043566178530454636,2024-12-19 10:53:03.113371,2024-12-19 10:53:07.288842,0 days 00:00:04.175471,0.1,50,128,0.009751179013997559,3,COMPLETE
1,1,0.0012355080980341882,2024-12-19 10:53:07.289237,2024-12-19 10:53:09.631944,0 days 00:00:02.342707,0.30000000000000004,50,128,0.002904209090176653,2,COMPLETE
2,2,0.04544139839708805,2024-12-19 10:53:09.632206,2024-12-19 10:53:10.192644,0 days 00:00:00.560438,0.2,10,64,0.0005922110769874402,4,COMPLETE
3,3,0.0018613830907270312,2024-12-19 10:53:10.192912,2024-12-19 10:53:12.284056,0 days 00:00:02.091144,0.2,50,64,0.007368500628935172,3,COMPLETE
4,4,0.013100148644298315,2024-12-19 10:53:12.284319,2024-12-19 10:53:12.862659,0 days 00:00:00.578340,0.4,20,64,0.0015826292999446103,2,COMPLETE
5,5,0.28096072375774384,2024-12-19 10:53:12.862907,2024-12-19 10:53:13.637222,0 days 00:00:00.774315,0.4,10,256,0.008544481529008953,2,COMPLETE
6,6,0.016043452080339193,2024-12-19 10:53:13.637488,2024-12-19 10:53:13.876243,0 days 00:00:00.238755,0.5,10,128,0.0031090154215586835,1,COMPLETE
7,7,0.0036443673307076097,2024-12-19 10:53:13.876496,2024-12-19 10:53:15.295048,0 days 00:00:01.418552,0.4,20,128,0.009857384125195155,3,COMPLETE
8,8,0.006288042291998863,2024-12-19 10:53:15.295307,2024-12-19 10:53:17.651252,0 days 00:00:02.355945,0.30000000000000004,50,128,0.0008426809317090916,2,COMPLETE
9,9,0.001168358779978007,2024-12-19 10:53:17.651512,2024-12-19 10:53:19.435863,0 days 00:00:01.784351,0.4,50,256,0.004729145212102159,1,COMPLETE
