,number,value,datetime_start,datetime_complete,duration,params_d_model_nhead,params_dim_feedforward,params_dropout,params_epochs,params_learning_rate,params_num_decoder_layers,params_num_encoder_layers,state
0,0,0.04528849758207798,2024-12-19 10:45:54.491787,2024-12-19 10:46:03.842169,0 days 00:00:09.350382,"448,2",512,0.30000000000000004,20,0.004739887855745267,5,2,COMPLETE
1,1,0.04447306506335735,2024-12-19 10:46:03.842652,2024-12-19 10:46:09.087140,0 days 00:00:05.244488,"128,2",384,0.4,50,0.005522304930765746,2,5,COMPLETE
2,2,0.04949449375271797,2024-12-19 10:46:09.087472,2024-12-19 10:46:15.229885,0 days 00:00:06.142413,"192,8",512,0.1,20,0.0003378017593798407,4,6,COMPLETE
3,3,0.08268756046891212,2024-12-19 10:46:15.230338,2024-12-19 10:46:19.948318,0 days 00:00:04.717980,"384,4",512,0.1,10,0.0014610578231559587,4,5,COMPLETE
4,4,0.04689381830394268,2024-12-19 10:46:19.948668,2024-12-19 10:46:27.610161,0 days 00:00:07.661493,"256,4",384,0.30000000000000004,20,0.0018152565760123094,6,6,COMPLETE
5,5,0.050423724576830864,2024-12-19 10:46:27.610474,2024-12-19 10:46:34.447136,0 days 00:00:06.836662,"384,8",128,0.5,20,0.009653503938671268,2,6,COMPLETE
6,6,0.04448366165161133,2024-12-19 10:46:34.447446,2024-12-19 10:46:40.138687,0 days 00:00:05.691241,"192,8",256,0.1,50,0.00462691679090527,2,2,COMPLETE
7,7,0.04447494074702263,2024-12-19 10:46:40.138987,2024-12-19 10:46:52.490530,0 days 00:00:12.351543,"192,8",384,0.1,50,0.005675466679757484,5,3,COMPLETE
8,8,0.04954652488231659,2024-12-19 10:46:52.490827,2024-12-19 10:47:02.506497,0 days 00:00:10.015670,"384,6",512,0.4,20,0.0020823692784327505,4,6,COMPLETE
9,9,0.05116928741335869,2024-12-19 10:47:02.506918,2024-12-19 10:47:06.632891,0 days 00:00:04.125973,"192,6",256,0.30000000000000004,20,0.004888251928809842,4,4,COMPLETE
