,number,value,datetime_start,datetime_complete,duration,params_dropout,params_epochs,params_hidden_size,params_learning_rate,params_num_layers,state
0,0,0.00030238083127187565,2024-12-20 10:26:18.427793,2024-12-20 10:26:27.443617,0 days 00:00:09.015824,0.30000000000000004,100,128,0.009818718193582305,4,COMPLETE
1,1,3.17350068144151e-05,2024-12-20 10:26:27.444003,2024-12-20 10:26:48.468071,0 days 00:00:21.024068,0.4,500,64,0.004708299317142239,3,COMPLETE
2,2,0.0002113903647114057,2024-12-20 10:26:48.468343,2024-12-20 10:27:01.350609,0 days 00:00:12.882266,0.1,200,256,0.004421618277091058,2,COMPLETE
3,3,0.00033021794297383167,2024-12-20 10:27:01.350880,2024-12-20 10:27:14.119051,0 days 00:00:12.768171,0.4,200,256,0.00908166772818331,2,COMPLETE
4,4,6.38488027107087e-05,2024-12-20 10:27:14.119315,2024-12-20 10:27:46.318271,0 days 00:00:32.198956,0.1,500,256,0.0021565404810931074,2,COMPLETE
5,5,0.0001714987538434798,2024-12-20 10:27:46.318552,2024-12-20 10:27:59.773680,0 days 00:00:13.455128,0.1,200,128,0.007890017188356028,3,COMPLETE
6,6,0.0006988273962633684,2024-12-20 10:27:59.773943,2024-12-20 10:28:03.017933,0 days 00:00:03.243990,0.2,100,256,0.005666319342998486,1,COMPLETE
7,7,0.001244853949174285,2024-12-20 10:28:03.018201,2024-12-20 10:28:16.131327,0 days 00:00:13.113126,0.4,100,256,0.0008383671714382152,4,COMPLETE
8,8,0.00017738177302817348,2024-12-20 10:28:16.131591,2024-12-20 10:28:22.619280,0 days 00:00:06.487689,0.1,200,256,0.00481734889719312,1,COMPLETE
9,9,3.6983666177548e-05,2024-12-20 10:28:22.619553,2024-12-20 10:28:38.732149,0 days 00:00:16.112596,0.5,500,256,0.00653698374460973,1,COMPLETE
