,number,value,datetime_start,datetime_complete,duration,params_dropout,params_epochs,params_hidden_size,params_learning_rate,params_num_layers,state
0,0,0.004914594581350684,2024-12-19 13:38:02.316850,2024-12-19 13:38:03.341655,0 days 00:00:01.024805,0.30000000000000004,20,64,0.0056478058216821985,1,COMPLETE
1,1,0.04282054863870144,2024-12-19 13:38:03.342009,2024-12-19 13:38:04.535403,0 days 00:00:01.193394,0.1,10,128,0.0059259309509058855,4,COMPLETE
2,2,0.0031557241454720497,2024-12-19 13:38:04.535661,2024-12-19 13:38:10.738055,0 days 00:00:06.202394,0.2,50,256,0.003567223782394376,3,COMPLETE
3,3,0.012481027748435736,2024-12-19 13:38:10.738347,2024-12-19 13:38:12.262029,0 days 00:00:01.523682,0.1,20,64,0.004395934298544829,4,COMPLETE
4,4,0.001222474907990545,2024-12-19 13:38:12.262333,2024-12-19 13:38:15.160314,0 days 00:00:02.897981,0.2,50,128,0.004957730792485791,2,COMPLETE
5,5,0.04342862218618393,2024-12-19 13:38:15.160591,2024-12-19 13:38:17.703830,0 days 00:00:02.543239,0.5,20,128,0.009858065064905497,4,COMPLETE
6,6,0.003061513649299741,2024-12-19 13:38:17.704110,2024-12-19 13:38:18.522925,0 days 00:00:00.818815,0.5,20,256,0.007237498181824855,1,COMPLETE
7,7,0.0031797492410987616,2024-12-19 13:38:18.523191,2024-12-19 13:38:23.163434,0 days 00:00:04.640243,0.5,50,256,0.0009070063332133708,2,COMPLETE
8,8,0.002916953177191317,2024-12-19 13:38:23.164057,2024-12-19 13:38:28.102164,0 days 00:00:04.938107,0.1,50,64,0.009574960520782654,4,COMPLETE
9,9,0.0019351323135197163,2024-12-19 13:38:28.102835,2024-12-19 13:38:30.311092,0 days 00:00:02.208257,0.30000000000000004,50,128,0.005589704477002086,1,COMPLETE
10,10,0.01682809554040432,2024-12-19 13:38:30.311369,2024-12-19 13:38:31.329991,0 days 00:00:01.018622,0.2,10,128,0.0021523495386053847,2,COMPLETE
11,11,0.001856276416219771,2024-12-19 13:38:31.330258,2024-12-19 13:38:33.337894,0 days 00:00:02.007636,0.30000000000000004,50,128,0.007533767736227917,1,COMPLETE
12,12,0.0008909673197194934,2024-12-19 13:38:33.338215,2024-12-19 13:38:36.408290,0 days 00:00:03.070075,0.4,50,128,0.00771354111596013,2,COMPLETE
13,13,0.001040878298226744,2024-12-19 13:38:36.408662,2024-12-19 13:38:39.436257,0 days 00:00:03.027595,0.4,50,128,0.0077301674277130816,2,COMPLETE
14,14,0.000895129342097789,2024-12-19 13:38:39.436531,2024-12-19 13:38:44.125951,0 days 00:00:04.689420,0.4,50,128,0.008201947909841656,3,COMPLETE
15,15,0.0011083045683335513,2024-12-19 13:38:44.126212,2024-12-19 13:38:48.672648,0 days 00:00:04.546436,0.4,50,128,0.008550591866138534,3,COMPLETE
16,16,0.007574768736958504,2024-12-19 13:38:48.673005,2024-12-19 13:38:49.564235,0 days 00:00:00.891230,0.4,10,128,0.006794182090865283,3,COMPLETE
17,17,0.0010299052519258112,2024-12-19 13:38:49.564501,2024-12-19 13:38:53.979305,0 days 00:00:04.414804,0.4,50,128,0.00864060059289234,3,COMPLETE
18,18,0.002062673564068973,2024-12-19 13:38:53.979578,2024-12-19 13:39:00.314491,0 days 00:00:06.334913,0.4,50,256,0.008731654942999205,3,COMPLETE
