,params,rmse
0,"(2, 0, 1)x(1, 1, 2, 12)",3617.851565440757
1,"(1, 0, 0)x(2, 1, 0, 12)",3833.3630212625876
2,"(1, 0, 0)x(1, 1, 1, 12)",3835.194716652064
3,"(1, 0, 2)x(2, 1, 1, 12)",3882.2696078485787
4,"(1, 0, 2)x(2, 1, 2, 12)",3919.8732408648634
5,"(1, 0, 2)x(1, 1, 2, 12)",3996.610112957743
6,"(1, 0, 2)x(2, 1, 0, 12)",3996.8212953897096
7,"(1, 0, 2)x(1, 1, 1, 12)",4012.10541496596
8,"(2, 1, 0)x(1, 1, 2, 12)",4019.916386417782
9,"(0, 0, 0)x(2, 0, 2, 12)",4020.9936248590416
10,"(2, 0, 0)x(1, 1, 1, 12)",4053.933398566508
11,"(2, 0, 2)x(1, 1, 2, 12)",4069.318402613218
12,"(1, 0, 2)x(2, 0, 1, 12)",4151.680819455378
13,"(1, 0, 1)x(2, 2, 2, 12)",4185.744095148037
14,"(2, 1, 0)x(1, 2, 1, 12)",4306.4437277076895
15,"(0, 0, 2)x(2, 0, 0, 12)",4308.2457130254015
16,"(0, 0, 1)x(2, 0, 0, 12)",4348.857597071158
17,"(0, 0, 1)x(2, 1, 1, 12)",4447.126731199824
18,"(0, 0, 1)x(1, 2, 1, 12)",4452.727044974398
19,"(0, 2, 1)x(1, 1, 2, 12)",4471.451002575545
20,"(2, 1, 2)x(2, 0, 1, 12)",4600.7978183863315
21,"(1, 1, 1)x(2, 1, 2, 12)",4612.745446719322
22,"(1, 0, 1)x(1, 1, 2, 12)",4636.667297468153
23,"(0, 0, 1)x(1, 2, 2, 12)",4752.345021380093
24,"(0, 0, 0)x(2, 1, 1, 12)",4918.757556268062
25,"(2, 0, 1)x(2, 0, 1, 12)",5030.84966046096
26,"(2, 0, 0)x(1, 1, 2, 12)",5065.671026171284
27,"(1, 1, 1)x(1, 2, 2, 12)",5068.5450594745425
28,"(2, 0, 2)x(2, 0, 0, 12)",5136.960951163833
29,"(2, 1, 1)x(1, 1, 2, 12)",5191.6005055369815
30,"(0, 0, 0)x(2, 1, 2, 12)",5210.886991723913
31,"(0, 0, 0)x(1, 2, 2, 12)",5277.7812254712335
32,"(0, 0, 2)x(2, 0, 2, 12)",5312.450240110233
33,"(2, 0, 0)x(1, 2, 1, 12)",5423.798994734198
34,"(2, 1, 1)x(1, 0, 2, 12)",5451.518442890514
35,"(0, 0, 0)x(2, 2, 2, 12)",5476.941198326724
36,"(0, 1, 2)x(1, 0, 2, 12)",5479.841433621475
37,"(0, 1, 0)x(2, 1, 2, 12)",5630.150261855032
38,"(1, 1, 2)x(1, 0, 2, 12)",5636.701832721035
39,"(2, 1, 1)x(1, 0, 1, 12)",5640.575841237696
40,"(1, 1, 0)x(1, 0, 1, 12)",5655.704512081694
41,"(2, 1, 1)x(2, 0, 2, 12)",5745.91366695772
42,"(1, 1, 2)x(1, 0, 1, 12)",5756.577909478183
43,"(2, 1, 2)x(1, 0, 1, 12)",5772.810673532598
44,"(1, 2, 2)x(2, 1, 2, 12)",5800.172701477264
45,"(2, 1, 0)x(2, 0, 2, 12)",5810.6016273906735
