,params,rmse
0,"(24, True, False, 'additive', True)",5786.608240705848
1,"(24, True, True, 'additive', True)",5786.608240705848
2,"(24, True, True, 'additive', False)",5786.608240705848
3,"(24, True, False, 'additive', False)",5786.608240705848
4,"(24, True, False, 'multiplicative', False)",6474.497699957322
5,"(24, True, False, 'multiplicative', True)",6474.497699957322
6,"(24, True, True, 'multiplicative', True)",6474.497699957322
7,"(24, True, True, 'multiplicative', False)",6474.497699957322
8,"(12, True, False, 'multiplicative', False)",9464.6598064051
9,"(12, True, False, 'multiplicative', True)",9464.6598064051
10,"(12, True, True, 'multiplicative', True)",9464.6598064051
11,"(12, True, True, 'multiplicative', False)",9464.6598064051
12,"(12, True, False, 'additive', False)",9509.721007771786
13,"(12, True, False, 'additive', True)",9509.721007771786
14,"(12, True, True, 'additive', False)",9509.721007771786
15,"(12, True, True, 'additive', True)",9509.721007771786
16,"(21, True, True, 'additive', False)",9702.679649974087
17,"(21, True, False, 'additive', True)",9702.679649974087
18,"(21, True, False, 'additive', False)",9702.679649974087
19,"(18, True, False, 'multiplicative', True)",9703.297603824343
20,"(18, True, False, 'multiplicative', False)",9703.297603824343
21,"(18, True, True, 'multiplicative', True)",9703.297603824343
22,"(21, True, True, 'multiplicative', False)",9705.722940591884
23,"(21, True, False, 'multiplicative', True)",9705.722940591884
24,"(21, True, False, 'multiplicative', False)",9705.722940591884
25,"(18, True, True, 'additive', True)",9712.634293711844
26,"(18, True, False, 'additive', False)",9712.634293711844
27,"(18, True, False, 'additive', True)",9712.634293711844
28,"(6, True, True, 'additive', True)",9715.555771241758
29,"(6, True, False, 'additive', True)",9715.555771241758
30,"(6, True, False, 'additive', False)",9715.555771241758
31,"(6, True, True, 'multiplicative', True)",9720.404282224274
32,"(6, True, False, 'multiplicative', True)",9720.404282224274
33,"(6, True, False, 'multiplicative', False)",9720.404282224274
34,"(8, True, True, 'multiplicative', True)",9721.087501504651
35,"(8, True, False, 'multiplicative', True)",9721.087501504651
36,"(8, True, True, 'multiplicative', False)",9721.087501504651
37,"(8, True, False, 'multiplicative', False)",9721.087501504651
38,"(14, True, True, 'additive', False)",9744.195647054627
39,"(14, True, True, 'additive', True)",9744.195647054627
40,"(14, True, False, 'additive', True)",9744.195647054627
41,"(14, True, False, 'additive', False)",9744.195647054627
42,"(14, True, True, 'multiplicative', False)",9746.900085735817
43,"(14, True, False, 'multiplicative', False)",9746.900085735817
44,"(14, True, False, 'multiplicative', True)",9746.900085735817
45,"(14, True, True, 'multiplicative', True)",9746.900085735817
46,"(15, True, True, 'additive', True)",9759.487933545806
47,"(15, True, True, 'additive', False)",9759.487933545806
48,"(15, True, False, 'additive', False)",9759.487933545806
49,"(15, True, False, 'additive', True)",9759.487933545806
50,"(15, True, False, 'multiplicative', False)",9759.859783709016
51,"(15, True, False, 'multiplicative', True)",9759.859783709016
52,"(15, True, True, 'multiplicative', True)",9759.859783709016
53,"(15, True, True, 'multiplicative', False)",9759.859783709016
54,"(17, True, True, 'multiplicative', True)",9760.228436835945
55,"(17, True, False, 'multiplicative', False)",9760.228436835945
56,"(17, True, False, 'multiplicative', True)",9760.228436835945
57,"(17, True, True, 'multiplicative', False)",9760.228436835945
58,"(17, True, True, 'additive', True)",9760.980569321324
59,"(17, True, False, 'additive', False)",9760.980569321324
60,"(17, True, False, 'additive', True)",9760.980569321324
61,"(17, True, True, 'additive', False)",9760.980569321324
62,"(10, True, False, 'additive', False)",9762.586812354099
63,"(10, True, False, 'additive', True)",9762.586812354099
64,"(10, True, True, 'additive', True)",9762.586812354099
65,"(10, True, True, 'additive', False)",9762.586812354099
66,"(10, True, False, 'multiplicative', False)",9762.649575518808
67,"(10, True, False, 'multiplicative', True)",9762.649575518808
68,"(10, True, True, 'multiplicative', False)",9762.649575518808
69,"(10, True, True, 'multiplicative', True)",9762.649575518808
70,"(7, True, False, 'multiplicative', False)",9763.62186964127
71,"(7, True, False, 'multiplicative', True)",9763.62186964127
72,"(7, True, True, 'multiplicative', False)",9763.62186964127
73,"(7, True, True, 'multiplicative', True)",9763.62186964127
74,"(9, True, True, 'multiplicative', True)",9765.25116603984
75,"(9, True, True, 'multiplicative', False)",9765.25116603984
76,"(9, True, False, 'multiplicative', False)",9765.25116603984
77,"(9, True, False, 'multiplicative', True)",9765.25116603984
78,"(9, True, True, 'additive', True)",9765.273161689998
79,"(9, True, False, 'additive', True)",9765.273161689998
