,params,rmse
0,"(57, True, True)",1563.339860940585
1,"(54, False, True)",1568.9326905283378
2,"(51, False, True)",1569.6008566278058
3,"(52, False, True)",1569.723922870786
4,"(49, False, True)",1570.116054588991
5,"(54, True, True)",1574.6248983913054
6,"(51, True, True)",1574.994098902482
7,"(52, True, True)",1575.1997873887442
8,"(49, True, True)",1575.9193906606044
9,"(50, False, True)",1578.6308241393801
10,"(55, False, True)",1582.691060499414
11,"(50, True, True)",1583.028850019542
12,"(53, False, True)",1583.2330816848594
13,"(55, True, True)",1585.877750179649
14,"(53, True, True)",1588.3023177537912
15,"(25, False, True)",1596.0937402637603
16,"(25, True, True)",1598.4486506226494
17,"(58, False, True)",1610.7637219897656
18,"(35, True, True)",1613.761431182902
19,"(32, False, True)",1620.8781828331757
20,"(34, False, True)",1622.3573452233693
21,"(35, False, True)",1624.5878285626357
22,"(33, False, True)",1631.378829153371
23,"(33, True, True)",1632.8783638334467
24,"(36, False, True)",1633.5658119096727
25,"(56, False, True)",1636.9560618708917
26,"(32, True, True)",1638.6042599607629
27,"(34, True, True)",1643.7369953886523
28,"(57, True, False)",1654.2859083063354
29,"(31, True, True)",1664.9162717713664
30,"(31, True, False)",1665.1744569427237
31,"(36, True, True)",1687.532673100996
32,"(58, True, True)",1688.8156378979145
33,"(48, True, True)",1689.7704933805874
34,"(31, False, True)",1694.0900802302172
35,"(57, False, True)",1701.5519459074592
36,"(36, True, False)",1705.9758585038032
37,"(35, True, False)",1709.910421518982
38,"(30, True, False)",1710.6183524601963
39,"(36, False, False)",1727.0103764337432
40,"(34, True, False)",1732.3581462964123
41,"(47, False, True)",1734.7773254079893
42,"(33, True, False)",1736.7862850664621
43,"(33, False, False)",1736.7862933828308
44,"(30, False, False)",1745.5036994383086
45,"(34, False, False)",1749.4540482586513
46,"(48, False, True)",1750.4359750144636
47,"(47, True, True)",1773.2989114063298
48,"(27, False, True)",1779.8119055179002
49,"(56, True, True)",1780.659956683017
50,"(26, True, False)",1788.0312561834296
51,"(26, False, False)",1788.0312646539503
52,"(27, True, True)",1789.797713300069
53,"(32, False, False)",1790.8190234347842
54,"(32, True, False)",1790.8349457577688
55,"(56, True, False)",1791.3063058021355
56,"(29, False, True)",1791.5437689931712
57,"(28, False, True)",1791.7324964658872
58,"(30, False, True)",1793.4075529397292
59,"(59, True, True)",1798.6135202405374
60,"(28, True, True)",1808.1521415036636
61,"(52, False, False)",1815.7756274491196
62,"(29, True, True)",1818.1049616305945
63,"(29, True, False)",1820.0896033419253
64,"(29, False, False)",1821.8385802624605
65,"(46, True, True)",1822.8780053865366
66,"(30, True, True)",1830.5961487511943
67,"(56, False, False)",1839.7832818101538
68,"(45, False, True)",1841.3502950426325
69,"(44, False, True)",1842.545152063803
70,"(43, False, True)",1843.4611157432353
71,"(53, True, False)",1845.201898556054
72,"(53, False, False)",1845.2019509875909
73,"(46, False, True)",1846.45056554326
74,"(55, False, False)",1848.38335751634
75,"(54, True, False)",1850.6848911416032
76,"(54, False, False)",1850.6849451664648
77,"(43, True, True)",1853.1474374608276
78,"(28, True, False)",1853.3814938100509
79,"(28, False, False)",1853.3815037539161
80,"(44, True, True)",1853.6692207193187
81,"(57, False, False)",1854.20091986788
82,"(55, True, False)",1854.7388387090023
83,"(45, True, True)",1855.1509463074806
84,"(26, False, True)",1861.998159832118
85,"(26, True, True)",1865.5765538412636
86,"(50, False, False)",1879.054951478736
87,"(40, False, True)",1880.6888287505158
88,"(24, True, True)",1881.7359780602221
89,"(59, False, True)",1887.0092262239652
90,"(31, False, False)",1887.3555938999195
91,"(42, True, True)",1889.7118075772883
92,"(47, False, False)",1901.4088803345246
93,"(47, True, False)",1903.6271325796893
94,"(40, True, True)",1904.6260738760313
95,"(51, False, False)",1905.7318452016818
96,"(42, False, True)",1907.098153489639
97,"(37, False, True)",1915.8328041567884
98,"(39, True, True)",1917.338492381403
99,"(41, False, True)",1923.529546645017
100,"(46, True, False)",1925.4294340315496
101,"(46, False, False)",1925.429439136071
102,"(39, False, True)",1925.4745922444126
103,"(45, False, False)",1926.443902603114
104,"(45, True, False)",1927.2815585965232
105,"(48, False, False)",1929.5488937338598
106,"(42, True, False)",1931.551267486197
107,"(44, False, False)",1933.7424222164414
108,"(41, True, True)",1941.899225245063
109,"(49, True, False)",1949.2197866828997
110,"(49, False, False)",1949.2198057516598
111,"(39, False, False)",1959.3612393291426
112,"(52, True, False)",1960.4316564639107
113,"(35, False, False)",1962.4668074567296
114,"(43, True, False)",1983.1617456326294
115,"(43, False, False)",1983.1617538928951
116,"(27, False, False)",1992.5375904463367
117,"(25, True, False)",2007.4849154244052
118,"(37, False, False)",2008.0340967538764
119,"(37, True, True)",2016.115236997334
120,"(25, False, False)",2024.5936915717218
121,"(41, False, False)",2032.6592052639498
122,"(40, True, False)",2032.9433949719282
123,"(38, False, False)",2072.1291746421466
124,"(27, True, False)",2073.394529974819
125,"(50, True, False)",2080.3787384388093
126,"(37, True, False)",2083.3481532725327
127,"(38, True, True)",2088.8563766620487
128,"(38, False, True)",2090.7096031844726
129,"(51, True, False)",2124.354392953355
130,"(39, True, False)",2139.391227546745
131,"(48, True, False)",2142.9828315598775
132,"(44, True, False)",2148.5981337793887
133,"(40, False, False)",2157.681789605771
134,"(38, True, False)",2159.781997794936
135,"(42, False, False)",2169.6892777083513
136,"(41, True, False)",2184.3251940447212
137,"(24, False, False)",2302.533880738054
138,"(24, False, True)",2446.2187690328283
139,"(24, True, False)",2537.5360242461875
140,"(22, True, True)",2711.6245682262106
141,"(23, False, False)",2869.499038693477
142,"(23, False, True)",2881.9222707752374
143,"(22, False, True)",2903.5671759354773
144,"(23, True, True)",2920.375108179619
145,"(22, False, False)",2929.970227417045
146,"(23, True, False)",2937.562288367186
147,"(58, True, False)",2990.988363333443
148,"(58, False, False)",3009.0277384243877
149,"(22, True, False)",3019.835544714022
150,"(59, True, False)",3507.2511191124267
151,"(59, False, False)",3507.2511283514073
152,"(21, True, True)",3783.5758140405683
153,"(21, False, True)",3787.92066097667
154,"(21, True, False)",3961.2325505255076
155,"(21, False, False)",4314.7038664753245
156,"(20, True, True)",4519.047497208718
157,"(20, False, True)",4520.531244893946
158,"(20, True, False)",4701.16557233884
159,"(20, False, False)",5210.497614535316
