,params,rmse
0,"(1, 0, 1)x(2, 1, 1, 12)",1073.741088239122
1,"(2, 1, 0)x(1, 1, 2, 12)",1086.9583566883575
2,"(2, 0, 0)x(2, 1, 1, 12)",1123.8304010571337
3,"(1, 0, 1)x(2, 1, 0, 12)",1134.1998021173372
4,"(0, 1, 0)x(1, 2, 2, 12)",1176.2353425125561
5,"(0, 1, 2)x(1, 1, 2, 12)",1191.9713135143438
6,"(0, 1, 1)x(1, 1, 2, 12)",1200.954881676135
7,"(2, 1, 1)x(1, 1, 2, 12)",1231.3231469950254
8,"(0, 1, 1)x(1, 2, 1, 12)",1264.920736122794
9,"(1, 1, 0)x(1, 2, 1, 12)",1265.356399218108
10,"(2, 1, 0)x(2, 2, 1, 12)",1281.2071904290572
11,"(0, 0, 2)x(1, 2, 1, 12)",1286.3085369809528
12,"(0, 1, 1)x(2, 2, 1, 12)",1297.0598294202744
13,"(0, 1, 2)x(1, 2, 1, 12)",1320.0704540746121
14,"(1, 0, 1)x(2, 0, 0, 12)",1333.7302367006957
15,"(1, 0, 1)x(1, 1, 1, 12)",1338.9252345436391
16,"(1, 1, 2)x(2, 1, 2, 12)",1360.7231967439416
17,"(2, 0, 1)x(1, 1, 1, 12)",1393.0112517339203
18,"(2, 0, 2)x(1, 1, 2, 12)",1425.517152978195
19,"(0, 1, 0)x(2, 2, 1, 12)",1425.6234064915432
20,"(0, 2, 0)x(1, 2, 1, 12)",1428.7883331531789
21,"(1, 0, 2)x(1, 1, 1, 12)",1429.4085571552064
22,"(0, 1, 2)x(2, 1, 1, 12)",1429.9265724081558
23,"(1, 0, 0)x(2, 0, 0, 12)",1434.3547294386892
24,"(0, 1, 0)x(1, 2, 1, 12)",1447.1393343280222
25,"(0, 0, 1)x(2, 0, 0, 12)",1455.856390969789
26,"(2, 0, 0)x(2, 1, 0, 12)",1525.302117116015
27,"(0, 1, 1)x(1, 1, 0, 12)",1529.4503172222614
28,"(0, 1, 2)x(1, 1, 1, 12)",1530.9479271376854
29,"(0, 1, 2)x(2, 1, 0, 12)",1538.2869517346205
30,"(0, 2, 2)x(2, 0, 0, 12)",1544.1798014646351
31,"(2, 2, 1)x(2, 1, 0, 12)",1545.3784302378403
32,"(1, 2, 2)x(2, 1, 2, 12)",1545.6340746954097
33,"(2, 1, 1)x(2, 1, 0, 12)",1550.220384788153
34,"(0, 0, 2)x(2, 1, 0, 12)",1550.8936548776926
35,"(1, 2, 1)x(2, 1, 0, 12)",1561.6922495306446
36,"(1, 1, 0)x(1, 1, 0, 12)",1572.6413108589832
37,"(1, 1, 0)x(2, 1, 0, 12)",1574.7299110665906
38,"(1, 1, 1)x(1, 1, 2, 12)",1574.7954495469326
39,"(1, 1, 0)x(1, 1, 1, 12)",1579.1433648984055
40,"(2, 1, 0)x(2, 0, 2, 12)",1588.7836534626301
41,"(2, 0, 0)x(1, 1, 0, 12)",1589.8327298082502
42,"(1, 1, 2)x(1, 2, 2, 12)",1591.3364450038778
43,"(0, 2, 0)x(1, 2, 2, 12)",1603.9774222549074
44,"(2, 0, 1)x(1, 1, 0, 12)",1616.4361059703601
45,"(2, 0, 0)x(2, 0, 0, 12)",1618.7190576656747
46,"(1, 2, 2)x(1, 1, 1, 12)",1621.5339883313782
47,"(0, 2, 2)x(2, 1, 2, 12)",1622.7036594778854
48,"(1, 1, 2)x(2, 0, 2, 12)",1633.336046490066
49,"(1, 1, 1)x(1, 1, 1, 12)",1646.7182414996846
50,"(1, 0, 2)x(1, 2, 1, 12)",1651.733759977235
51,"(1, 1, 0)x(1, 1, 2, 12)",1653.854929663898
52,"(1, 0, 2)x(2, 2, 0, 12)",1658.4436164418048
53,"(2, 1, 1)x(1, 2, 2, 12)",1679.8551654035782
54,"(2, 2, 1)x(2, 1, 2, 12)",1687.2626287373
55,"(1, 0, 1)x(1, 1, 0, 12)",1701.6242059534663
56,"(2, 1, 2)x(1, 2, 1, 12)",1702.6232866209548
57,"(0, 2, 1)x(2, 0, 0, 12)",1711.1129689212175
58,"(2, 1, 1)x(2, 1, 2, 12)",1712.2137628608527
59,"(2, 1, 0)x(2, 1, 0, 12)",1719.3233311530219
60,"(2, 1, 0)x(2, 1, 2, 12)",1720.9815970733896
61,"(2, 1, 0)x(1, 1, 0, 12)",1727.1758773241775
62,"(2, 1, 0)x(2, 2, 2, 12)",1728.7178705316087
63,"(1, 1, 2)x(2, 2, 2, 12)",1732.9273607924702
64,"(0, 1, 2)x(2, 2, 0, 12)",1739.5255527537984
65,"(0, 1, 0)x(1, 1, 2, 12)",1747.3787964807277
66,"(2, 0, 0)x(1, 1, 1, 12)",1754.6603230962808
67,"(1, 1, 1)x(2, 1, 1, 12)",1757.8764296970955
68,"(1, 1, 1)x(2, 2, 2, 12)",1758.0553373985895
69,"(0, 2, 2)x(2, 1, 1, 12)",1774.9130349225136
70,"(2, 2, 1)x(1, 2, 0, 12)",1775.8374895021568
71,"(2, 1, 1)x(1, 1, 0, 12)",1779.7677119967834
72,"(0, 2, 2)x(1, 1, 2, 12)",1783.84033338047
73,"(1, 0, 0)x(1, 1, 2, 12)",1788.5651537855588
74,"(0, 1, 2)x(1, 1, 0, 12)",1796.5072372761147
75,"(2, 0, 2)x(2, 2, 2, 12)",1796.6562758200894
76,"(2, 2, 2)x(2, 1, 1, 12)",1807.4580059211485
77,"(1, 1, 0)x(2, 1, 2, 12)",1823.6210897998055
78,"(1, 1, 1)x(1, 1, 0, 12)",1829.671503642419
79,"(0, 1, 1)x(2, 1, 0, 12)",1833.8610298076105
80,"(2, 1, 2)x(1, 1, 1, 12)",1837.7395759994624
81,"(2, 1, 2)x(1, 1, 0, 12)",1838.5546882714352
82,"(0, 0, 2)x(2, 0, 0, 12)",1846.8430759970997
83,"(2, 1, 2)x(1, 2, 2, 12)",1850.0393753129001
84,"(2, 0, 1)x(2, 2, 2, 12)",1852.080580452738
85,"(2, 2, 1)x(2, 1, 1, 12)",1884.577018204381
86,"(0, 1, 0)x(1, 1, 0, 12)",1892.7843590317873
87,"(1, 1, 2)x(1, 1, 1, 12)",1892.8252156641445
88,"(2, 1, 1)x(2, 2, 1, 12)",1895.6972504451942
89,"(1, 0, 0)x(1, 1, 0, 12)",1907.4674066386476
90,"(0, 0, 2)x(2, 2, 0, 12)",1907.941598947272
91,"(2, 1, 0)x(1, 1, 1, 12)",1908.438406910606
92,"(0, 1, 0)x(2, 1, 0, 12)",1915.6207088398087
93,"(2, 0, 0)x(1, 2, 0, 12)",1916.511398265038
94,"(0, 1, 0)x(1, 1, 1, 12)",1921.7052068888286
95,"(2, 1, 2)x(2, 1, 0, 12)",1925.9520788839213
96,"(0, 0, 2)x(1, 2, 0, 12)",1932.7892042193862
97,"(1, 2, 2)x(2, 1, 1, 12)",1939.1002883492176
98,"(2, 0, 1)x(1, 1, 2, 12)",1945.2813118808133
99,"(1, 2, 1)x(1, 1, 2, 12)",1947.6708503995155
100,"(2, 1, 2)x(2, 2, 1, 12)",1949.7967970475522
101,"(2, 2, 2)x(2, 0, 0, 12)",1955.614582479935
102,"(2, 1, 0)x(2, 2, 0, 12)",1962.392873568751
103,"(1, 0, 2)x(2, 0, 0, 12)",1969.2530264209518
104,"(2, 0, 2)x(2, 1, 1, 12)",1976.147156959104
105,"(1, 0, 0)x(1, 1, 1, 12)",1988.1712261926134
106,"(0, 0, 1)x(1, 1, 0, 12)",1991.7552846512133
107,"(1, 0, 2)x(2, 2, 1, 12)",1992.8085682560375
108,"(0, 0, 2)x(1, 1, 0, 12)",1995.4847383200863
109,"(0, 1, 1)x(1, 1, 1, 12)",2004.7837885935342
110,"(2, 0, 2)x(2, 1, 2, 12)",2009.980546230851
111,"(1, 2, 1)x(2, 0, 1, 12)",2022.439317468798
112,"(2, 0, 0)x(2, 2, 0, 12)",2024.6060275469038
113,"(2, 0, 0)x(2, 2, 1, 12)",2026.5856935966153
114,"(1, 0, 0)x(1, 2, 1, 12)",2029.6896593008946
115,"(2, 1, 1)x(2, 2, 2, 12)",2032.2980548217656
116,"(0, 1, 1)x(2, 1, 2, 12)",2033.3932145912113
117,"(0, 1, 0)x(2, 1, 2, 12)",2049.278919126394
118,"(0, 2, 1)x(2, 0, 1, 12)",2053.3886819922614
119,"(2, 2, 2)x(1, 1, 2, 12)",2062.2651763572476
120,"(0, 2, 2)x(1, 1, 1, 12)",2069.151276755532
121,"(2, 0, 2)x(2, 2, 0, 12)",2081.4432534885436
122,"(2, 1, 2)x(1, 2, 0, 12)",2082.246699353421
123,"(0, 0, 1)x(2, 2, 0, 12)",2083.2966805278725
124,"(1, 1, 1)x(2, 0, 2, 12)",2088.6403275810353
125,"(1, 1, 1)x(2, 1, 2, 12)",2090.2945113295136
126,"(1, 0, 1)x(1, 2, 2, 12)",2098.7165835731453
127,"(1, 2, 2)x(1, 2, 1, 12)",2102.1510092465287
128,"(0, 1, 1)x(2, 0, 2, 12)",2102.2729781863554
129,"(0, 0, 1)x(2, 1, 0, 12)",2107.998390997111
130,"(0, 2, 1)x(2, 2, 0, 12)",2110.54815043394
131,"(1, 1, 0)x(2, 2, 0, 12)",2117.1863266514592
132,"(2, 1, 2)x(1, 1, 2, 12)",2122.5449096890234
133,"(1, 0, 1)x(2, 2, 0, 12)",2125.0319930448018
134,"(0, 0, 2)x(2, 1, 1, 12)",2130.1662118991753
135,"(2, 1, 2)x(2, 2, 2, 12)",2135.6962214200526
136,"(0, 1, 1)x(2, 2, 2, 12)",2161.312917358539
137,"(2, 1, 1)x(2, 2, 0, 12)",2164.896294208883
138,"(2, 1, 2)x(2, 0, 1, 12)",2170.146764945813
139,"(0, 1, 0)x(2, 0, 2, 12)",2173.4549060910576
140,"(1, 0, 0)x(2, 1, 0, 12)",2184.14350039002
141,"(2, 1, 2)x(2, 1, 2, 12)",2184.1929381783634
142,"(2, 0, 2)x(2, 2, 1, 12)",2188.8140335562125
143,"(2, 1, 2)x(2, 1, 1, 12)",2214.2314323854403
144,"(1, 0, 2)x(2, 2, 2, 12)",2226.6040416438386
145,"(2, 1, 2)x(2, 2, 0, 12)",2227.072003397195
146,"(1, 2, 1)x(2, 2, 0, 12)",2237.007141349146
147,"(2, 0, 1)x(2, 1, 0, 12)",2237.574196044801
148,"(0, 1, 2)x(2, 0, 2, 12)",2239.165234842096
149,"(2, 2, 2)x(1, 2, 0, 12)",2240.054790402006
150,"(1, 1, 2)x(1, 2, 1, 12)",2240.997695574465
151,"(1, 0, 1)x(2, 2, 2, 12)",2249.962922762513
152,"(0, 1, 2)x(2, 2, 1, 12)",2254.126430690002
153,"(0, 2, 1)x(1, 2, 0, 12)",2256.2979264442615
154,"(1, 0, 2)x(1, 1, 2, 12)",2269.178712406211
155,"(1, 1, 0)x(2, 0, 2, 12)",2269.3123791888092
156,"(2, 2, 2)x(2, 0, 1, 12)",2273.83662781268
157,"(1, 0, 1)x(1, 2, 1, 12)",2290.866231277044
158,"(1, 0, 1)x(2, 2, 1, 12)",2297.010090208932
159,"(0, 2, 2)x(2, 2, 0, 12)",2303.4392790262077
