,params,rmse
0,"(24, True, True, 'additive', True)",5084.900157651134
1,"(24, True, True, 'additive', False)",5084.900157651134
2,"(24, True, False, 'additive', False)",5084.900157651134
3,"(24, True, False, 'additive', True)",5084.900157651134
4,"(24, True, True, 'multiplicative', True)",5472.017383574207
5,"(24, True, False, 'multiplicative', False)",5472.017383574207
6,"(24, True, False, 'multiplicative', True)",5472.017383574207
7,"(24, True, True, 'multiplicative', False)",5472.017383574207
8,"(12, True, False, 'multiplicative', False)",8000.184952447779
9,"(12, True, False, 'multiplicative', True)",8000.184952447779
10,"(12, True, True, 'multiplicative', True)",8000.184952447779
11,"(12, True, True, 'multiplicative', False)",8000.184952447779
12,"(12, True, True, 'additive', False)",8073.148142824896
13,"(12, True, True, 'additive', True)",8073.148142824896
14,"(12, True, False, 'additive', False)",8073.148142824896
15,"(12, True, False, 'additive', True)",8073.148142824896
16,"(13, True, True, 'multiplicative', True)",8828.662671789078
17,"(13, True, True, 'multiplicative', False)",8828.662671789078
18,"(13, True, False, 'multiplicative', True)",8828.662671789078
19,"(13, True, False, 'multiplicative', False)",8828.662671789078
20,"(13, True, False, 'additive', True)",8836.548905957374
21,"(13, True, False, 'additive', False)",8836.548905957374
22,"(13, True, True, 'additive', True)",8836.548905957374
23,"(13, True, True, 'additive', False)",8836.548905957374
24,"(16, True, False, 'multiplicative', False)",8902.035185163877
25,"(16, True, False, 'multiplicative', True)",8902.035185163877
26,"(16, True, True, 'multiplicative', False)",8902.035185163877
27,"(6, True, True, 'multiplicative', True)",8924.735562328158
28,"(6, True, False, 'multiplicative', False)",8924.735562328158
29,"(6, True, False, 'multiplicative', True)",8924.735562328158
30,"(8, True, True, 'multiplicative', False)",8925.86502786482
31,"(8, True, False, 'multiplicative', False)",8925.86502786482
32,"(8, True, False, 'multiplicative', True)",8925.86502786482
33,"(6, True, False, 'additive', True)",8951.419436502521
34,"(6, True, True, 'additive', True)",8951.419436502521
35,"(6, True, False, 'additive', False)",8951.419436502521
36,"(16, True, False, 'additive', True)",8972.820024846931
37,"(16, True, False, 'additive', False)",8972.820024846931
38,"(16, True, True, 'additive', False)",8972.820024846931
39,"(4, True, True, 'multiplicative', False)",8982.96954878306
40,"(4, True, False, 'multiplicative', False)",8982.96954878306
41,"(4, True, False, 'multiplicative', True)",8982.96954878306
42,"(2, True, False, 'additive', True)",8983.482801159675
43,"(2, True, True, 'additive', False)",8983.482801159675
44,"(2, True, False, 'additive', False)",8983.482801159675
45,"(2, True, False, 'multiplicative', True)",8983.524001312046
46,"(2, True, True, 'multiplicative', False)",8983.524001312046
47,"(2, True, False, 'multiplicative', False)",8983.524001312046
48,"(16, True, True, 'additive', True)",8983.592065618404
49,"(15, False, False, 'multiplicative', False)",8983.592065618404
50,"(15, False, False, 'multiplicative', True)",8983.592065618404
51,"(15, False, False, 'additive', False)",8983.592065618404
52,"(16, False, True, 'multiplicative', False)",8983.592065618404
53,"(17, True, True, 'additive', True)",8983.592065618404
54,"(16, False, True, 'multiplicative', True)",8983.592065618404
55,"(16, False, True, 'additive', True)",8983.592065618404
56,"(16, False, True, 'additive', False)",8983.592065618404
57,"(16, False, False, 'multiplicative', False)",8983.592065618404
58,"(16, False, False, 'multiplicative', True)",8983.592065618404
59,"(16, False, False, 'additive', False)",8983.592065618404
60,"(16, False, False, 'additive', True)",8983.592065618404
61,"(15, False, False, 'additive', True)",8983.592065618404
62,"(16, True, True, 'multiplicative', True)",8983.592065618404
63,"(15, False, True, 'multiplicative', False)",8983.592065618404
64,"(14, True, True, 'multiplicative', True)",8983.592065618404
65,"(15, False, True, 'additive', False)",8983.592065618404
66,"(12, False, True, 'additive', True)",8983.592065618404
67,"(12, False, True, 'additive', False)",8983.592065618404
68,"(12, False, True, 'multiplicative', True)",8983.592065618404
